lane	policy	panel	cell	r_lo	r_hi	left_map	right_map	left_radius_lo	right_radius_lo	left_uncertainty	right_uncertainty
baseline	value	0	1	0.55440951894073376	0.56266096077992589	1	1	4.8743969053645528e-17	-3.3932552145780222e-17	1.1102230246251565e-16	1.1102230246251565e-16
baseline	value	1	5	0.83746378957463308	0.84972672439230301	0	0	0	0	0	0
baseline	value	2	6	0.84972672439230301	0.85720378575239498	0	0	0	0	0	0
baseline	value	3	7	0.85720378575239498	0.88965961535403337	0	1	0	-5.4058042190716345e-17	0	1.1102230246251565e-16
baseline	value	4	12	1.4027942668116613	1.4148028287947072	1	1	-8.8148253530056329e-17	-2.6881747413447363e-17	2.2204460492503131e-16	2.2204460492503131e-16
baseline	value+5Jac	0	1	0.55440951894073376	0.56266096077992589	1	1	4.8743969053645528e-17	-3.3932552145780222e-17	1.1102230246251565e-16	1.1102230246251565e-16
baseline	value+5Jac	1	5	0.83746378957463308	0.84972672439230301	0	0	0	0	0	0
baseline	value+5Jac	2	6	0.84972672439230301	0.85720378575239498	0	0	0	0	0	0
baseline	value+5Jac	3	7	0.85720378575239498	0.88965961535403337	0	1	0	-5.4058042190716345e-17	0	1.1102230246251565e-16
baseline	value+5Jac	4	12	1.4027942668116613	1.4148028287947072	1	1	-8.8148253530056329e-17	-2.6881747413447363e-17	2.2204460492503131e-16	2.2204460492503131e-16
baseline	value+5Jac	5	7	0.85720378575239498	0.88965961535403337	0	1	0	0	0	0
baseline	value+5Jac	6	7	0.85720378575239498	0.88965961535403337	0	1	0	-5.4058042190716345e-17	0	1.1102230246251565e-16
